channel_id,vertical,predicted_vertical
UClJAYpfNwjEXuhP3ssj71Ug,Education & Science,Education & Science
UCN5zwIR-N3WitHgyBrRPbfQ,Education & Science,Entertainment
UCCNHIg3xiYDg8MDY8XSZSkA,Food & Drinks,Food & Drinks
UCdTkML-Lu3Ka74D3fiM0jeg,Food & Drinks,Lifestyle & Hobbies
UCNoGlpE_yc7yGmnaWRXopaA,Food & Drinks,Food & Drinks
UCQ5_VFjeXVT2Ht6freBsgeQ,Food & Drinks,Food & Drinks
UC6C5rLe-voNUT2bqsvbkrYQ,Corporate Channels,Gaming
UCa7tPSfhoLhWs87nCDl639g,Corporate Channels,Sports Editorial Content
UCFpOLXdf0db2ViV3YpWs2OA,Lifestyle & Hobbies,Lifestyle & Hobbies
UCHr_aw2Klj_YE6fTv4YypBQ,Lifestyle & Hobbies,Entertainment
UClBSYNoqdfJuWPWfcKPCk-A,Lifestyle & Hobbies,Lifestyle & Hobbies
UCO7vT4IiDqb1Ry8kSDCiRNw,Lifestyle & Hobbies,Lifestyle & Hobbies
UC6oiuMaTUrKiLn1u6gbaMag,Health & Fitness,Health & Fitness
UCaS2ZVJhyTCB3_fU88c9vGQ,Health & Fitness,Health & Fitness
UCiaZSRydY8beFPD886fS0rw,Health & Fitness,Lifestyle & Hobbies
UCJm3ECWPT6r8xBHV5NDVrMQ,Health & Fitness,Health & Fitness
UCeeHT-3WejdX6uGBgCbE7SA,Auto & Vehicles,Auto & Vehicles
UCELGGcp87Rd9IyR9TAR2kXA,Auto & Vehicles,Auto & Vehicles
UCOXiM0iYkuCqNfZJoNpTAHQ,Auto & Vehicles,Auto & Vehicles
UCpMv4DqZ8Y4QO_aFw2vkGjA,Sports Editorial Content,Sports Editorial Content
UCL1JAIkOn-lYaRNpOI1GV4w,Entertainment,Entertainment
UCpTjuGibTsSpSOO-MREk8Wg,Entertainment,Entertainment
UCRbIKMyRCDT-J47uJ26ehqw,Entertainment,Entertainment
UCtnmHPgmcQOxJKj1ZG4rmLw,Entertainment,Gaming
UCIbwO6Xm0Gpz0D810FUEs9w,Kids Content,Kids Content
UCJ3HrPbiyDvqgJD6pj4_BEQ,Kids Content,Kids Content
UCS777nyImh331GyGxKnVeag,Kids Content,Kids Content
UCQBCt1uzQ_AiZujYFLJmOlA,Family,Family
UCR5KWaN94EPt2tMcoHA9OQg,Family,Family
UCSWk237F09Emo2MxR3Q_1JA,Family,Entertainment
UCp2w6RCcZ2pgCgvNZCN4ciA,"News, Politics, & Information",News
UChi_U5HDWUfudfl8KKfuWvg,Gaming,Gaming
UCHNXLlh1VWiPbgRRKOiLmcA,Gaming,Gaming
UCIvE0AhNMRKfk62GdsgZhoA,Gaming,Entertainment
UCLsw2U0uD6pHtI1H6DaMHlQ,Gaming,Gaming
UCRYnloqXpa_amxp_IUSRa-w,Gaming,Gaming
UCjvrWzo_puynmzvTiNQ1OJg,Tech,Tech
UCKI91MuLfEw8H9MUEnMirwQ,Tech,Gaming
UCKMO2LIpvjBbhNtssrCrhzQ,Tech,Tech
UCN17O9A0wKJVHZjewWDm8lA,Tech,Tech
UCN5zwIR-N3WitHgyBrRPbfQ,Education & Science,Education & Science
UCnlHzs3zWBI-1xmsbdArIOQ,Education & Science,Education & Science
UCQ5_VFjeXVT2Ht6freBsgeQ,Food & Drinks,Food & Drinks
UCqAISscklbbQS-Y3GHyE-sA,Food & Drinks,Lifestyle & Hobbies
UCt-HMqsPvzyrGkQ_704Ir5Q,Food & Drinks,Food & Drinks
UCa7tPSfhoLhWs87nCDl639g,Corporate Channels,Entertainment
UCCf23ekQ5pwaF1U1kUtlwOQ,Corporate Channels,Entertainment
UCO7vT4IiDqb1Ry8kSDCiRNw,Lifestyle & Hobbies,Lifestyle & Hobbies
UCon6JNfrvSKBeN0zSWvWDVg,Lifestyle & Hobbies,Entertainment
UCraZhrCr0fqudUIV5J9-1rQ,Lifestyle & Hobbies,Lifestyle & Hobbies
UCs7l4LJJdwtWwcn2FcAHbLg,Lifestyle & Hobbies,Family
UCJm3ECWPT6r8xBHV5NDVrMQ,Health & Fitness,Health & Fitness
UCKUlrPWnRiUTJnTTXMHAy_A,Health & Fitness,Lifestyle & Hobbies
UCKXTb8CkxQhJbPOAG-CtRfQ,Health & Fitness,Lifestyle & Hobbies
UCOXiM0iYkuCqNfZJoNpTAHQ,Auto & Vehicles,Auto & Vehicles
UCSKtK03rhl9irsdV3uFWiBg,Auto & Vehicles,Auto & Vehicles
UCtTbVsgCMdXQifG1IPW2iKQ,Auto & Vehicles,Auto & Vehicles
UCpMv4DqZ8Y4QO_aFw2vkGjA,Sports Editorial Content,Sports Editorial Content
UCtnmHPgmcQOxJKj1ZG4rmLw,Entertainment,Gaming
UCWPU18q799MFtdRMLaJCh7Q,Entertainment,Entertainment
UCxmh9CHjpMmQGFHvZQt0GTQ,Entertainment,Entertainment
UCS777nyImh331GyGxKnVeag,Kids Content,Kids Content
UCUy8Q82gXG07N2js29d4JwQ,Kids Content,Entertainment
UCXyDNZg0oIwic0j7m_jOjqQ,Kids Content,Kids Content
UCSWk237F09Emo2MxR3Q_1JA,Family,Entertainment
UCu5MM6dgH9IgvBr8WDrn4Sg,Family,Family
UCpiXGZBVa5jGYc4FAx_gq2g,"News, Politics, & Information",News
UCRYnloqXpa_amxp_IUSRa-w,Gaming,Gaming
UCw_wBbeBe5gsEbQPHCNw-eA,Gaming,Gaming
UCXaXECymzORzf06VzpD_jYg,Gaming,Gaming
UCypasri70U7xSQW0oGI4Vtg,Gaming,Gaming
UCN17O9A0wKJVHZjewWDm8lA,Tech,Tech
UCPrbArysdf6neOcQPaxzxFg,Tech,Tech
UCvWQOze3mZUVHgHUyCe4s-Q,Tech,Tech
UCYRkOO_tpXUtlrk4ojpZesA,Tech,Tech
UCnlHzs3zWBI-1xmsbdArIOQ,Education & Science,Education & Science
UCoc16w6cfFa8UKMwaMx1GWQ,Education & Science,Education & Science
UCt-HMqsPvzyrGkQ_704Ir5Q,Food & Drinks,Food & Drinks
UCvGh4HT9ySBoURt0zSpC0Nw,Food & Drinks,Food & Drinks
UCVmUEHRt4HCm6KUeKMZcvBA,Food & Drinks,Food & Drinks
UCCf23ekQ5pwaF1U1kUtlwOQ,Corporate Channels,Entertainment
UCs7l4LJJdwtWwcn2FcAHbLg,Lifestyle & Hobbies,Family
UCU6ZQno03ENPABHqA3kgsXg,Lifestyle & Hobbies,Lifestyle & Hobbies
UCxrL6s8Q-FVLVUUn4bWgU3w,Lifestyle & Hobbies,Lifestyle & Hobbies
UCzwi1kwlNyJhhLVrHXmvVqA,Lifestyle & Hobbies,Lifestyle & Hobbies
UCKXTb8CkxQhJbPOAG-CtRfQ,Health & Fitness,Health & Fitness
UCnAXgBl1MVlGTDVVd_2uRHA,Health & Fitness,Entertainment
UCUeKyW4iBIHW1AASTwQl1oA,Health & Fitness,Health & Fitness
