channel_id,vertical,predicted_vertical,match
UCL1JAIkOn-lYaRNpOI1GV4w,Entertainment,Entertainment,True
UC72ZwIgcz_T3a9qpX083zeQ,Kids Content,Kids Content,True
UCDnZvnYAnTPywqPlj1jwm_g,Kids Content,Kids Content,True
UCfTn60uE6zz1ibgdphKiIzw,Kids Content,Kids Content,True
UCIbwO6Xm0Gpz0D810FUEs9w,Kids Content,Kids Content,True
UCajyfb5EUPd3f3deUk0dBEQ,Family,Family,True
UCFKpWyBpQfmAI33-uIZLoig,Family,Family,True
UCQBCt1uzQ_AiZujYFLJmOlA,Family,Family,True
UCOGhBBuD_FPCdS4OFew7DwA,"News, Politics, & Information",Entertainment,False
UCCJ-NJtqLQRxuaxHZA9q6zg,Gaming,Gaming,True
UCE2AMNC7H3shyUzPVwWZVLw,Gaming,Gaming,True
UCEptXIJlUdiUBosK_W5f1VQ,Gaming,Gaming,True
UCh7nyWEkvGJHr0hcnnqp-xw,Gaming,Gaming,True
UChi_U5HDWUfudfl8KKfuWvg,Gaming,Gaming,True
UCiof9YSQHD2cawGJXZ8DyBA,Tech,Tech,True
UCJACTxNpdIbgwLQ10ib4A9A,Tech,Tech,True
UCjST8i81ILulZZvnO1xtfhQ,Tech,Tech,True
UCjvrWzo_puynmzvTiNQ1OJg,Tech,Tech,True
UCHRTziAevLPgAE9Y5VhSs5g,Education & Science,Education & Science,True
UClJAYpfNwjEXuhP3ssj71Ug,Education & Science,Education & Science,True
UCN5zwIR-N3WitHgyBrRPbfQ,Education & Science,Tech,False
UCCNHIg3xiYDg8MDY8XSZSkA,Food & Drinks,Food & Drinks,True
UCdTkML-Lu3Ka74D3fiM0jeg,Food & Drinks,Lifestyle & Hobbies,False
UCNoGlpE_yc7yGmnaWRXopaA,Food & Drinks,Food & Drinks,True
UCQ5_VFjeXVT2Ht6freBsgeQ,Food & Drinks,Food & Drinks,True
UC6C5rLe-voNUT2bqsvbkrYQ,Corporate Channels,Kids Content,False
UCa7tPSfhoLhWs87nCDl639g,Corporate Channels,Sports Editorial Content,False
UCFpOLXdf0db2ViV3YpWs2OA,Lifestyle & Hobbies,Family,False
UCHr_aw2Klj_YE6fTv4YypBQ,Lifestyle & Hobbies,Entertainment,False
UClBSYNoqdfJuWPWfcKPCk-A,Lifestyle & Hobbies,Lifestyle & Hobbies,True
UCO7vT4IiDqb1Ry8kSDCiRNw,Lifestyle & Hobbies,Lifestyle & Hobbies,True
UC6oiuMaTUrKiLn1u6gbaMag,Health & Fitness,Health & Fitness,True
UCaS2ZVJhyTCB3_fU88c9vGQ,Health & Fitness,Health & Fitness,True
UCiaZSRydY8beFPD886fS0rw,Health & Fitness,Lifestyle & Hobbies,False
UCJm3ECWPT6r8xBHV5NDVrMQ,Health & Fitness,Health & Fitness,True
UCeeHT-3WejdX6uGBgCbE7SA,Auto & Vehicles,Auto & Vehicles,True
UCELGGcp87Rd9IyR9TAR2kXA,Auto & Vehicles,Auto & Vehicles,True
UCOXiM0iYkuCqNfZJoNpTAHQ,Auto & Vehicles,Auto & Vehicles,True
UCpMv4DqZ8Y4QO_aFw2vkGjA,Sports Editorial Content,Sports Editorial Content,True
UCL1JAIkOn-lYaRNpOI1GV4w,Entertainment,Entertainment,True
UCpTjuGibTsSpSOO-MREk8Wg,Entertainment,Entertainment,True
UCRbIKMyRCDT-J47uJ26ehqw,Entertainment,Entertainment,True
UCtnmHPgmcQOxJKj1ZG4rmLw,Entertainment,Entertainment,True
UCIbwO6Xm0Gpz0D810FUEs9w,Kids Content,Kids Content,True
UCJ3HrPbiyDvqgJD6pj4_BEQ,Kids Content,Kids Content,True
UCS777nyImh331GyGxKnVeag,Kids Content,Kids Content,True
UCQBCt1uzQ_AiZujYFLJmOlA,Family,Family,True
UCR5KWaN94EPt2tMcoHA9OQg,Family,Family,True
UCSWk237F09Emo2MxR3Q_1JA,Family,Entertainment,False
UCp2w6RCcZ2pgCgvNZCN4ciA,"News, Politics, & Information","News, Politics, & Information",True
UChi_U5HDWUfudfl8KKfuWvg,Gaming,Gaming,True
UCHNXLlh1VWiPbgRRKOiLmcA,Gaming,Gaming,True
UCIvE0AhNMRKfk62GdsgZhoA,Gaming,Entertainment,False
UCLsw2U0uD6pHtI1H6DaMHlQ,Gaming,Gaming,True
UCRYnloqXpa_amxp_IUSRa-w,Gaming,Gaming,True
UCjvrWzo_puynmzvTiNQ1OJg,Tech,Tech,True
UCKI91MuLfEw8H9MUEnMirwQ,Tech,Gaming,False
UCKMO2LIpvjBbhNtssrCrhzQ,Tech,Tech,True
UCN17O9A0wKJVHZjewWDm8lA,Tech,Tech,True
UCN5zwIR-N3WitHgyBrRPbfQ,Education & Science,Lifestyle & Hobbies,False
UCnlHzs3zWBI-1xmsbdArIOQ,Education & Science,Education & Science,True
UCQ5_VFjeXVT2Ht6freBsgeQ,Food & Drinks,Food & Drinks,True
UCqAISscklbbQS-Y3GHyE-sA,Food & Drinks,Lifestyle & Hobbies,False
UCt-HMqsPvzyrGkQ_704Ir5Q,Food & Drinks,Food & Drinks,True
UCa7tPSfhoLhWs87nCDl639g,Corporate Channels,Corporate Channels,True
UCCf23ekQ5pwaF1U1kUtlwOQ,Corporate Channels,Entertainment,False
UCO7vT4IiDqb1Ry8kSDCiRNw,Lifestyle & Hobbies,Pets & Animals,False
UCon6JNfrvSKBeN0zSWvWDVg,Lifestyle & Hobbies,Entertainment,False
UCraZhrCr0fqudUIV5J9-1rQ,Lifestyle & Hobbies,Lifestyle & Hobbies,True
UCs7l4LJJdwtWwcn2FcAHbLg,Lifestyle & Hobbies,Family,False
UCJm3ECWPT6r8xBHV5NDVrMQ,Health & Fitness,Health & Fitness,True
UCKUlrPWnRiUTJnTTXMHAy_A,Health & Fitness,Lifestyle & Hobbies,False
UCKXTb8CkxQhJbPOAG-CtRfQ,Health & Fitness,Lifestyle & Hobbies,False
UCOXiM0iYkuCqNfZJoNpTAHQ,Auto & Vehicles,Auto & Vehicles,True
UCSKtK03rhl9irsdV3uFWiBg,Auto & Vehicles,Auto & Vehicles,True
UCtTbVsgCMdXQifG1IPW2iKQ,Auto & Vehicles,Auto & Vehicles,True
UCpMv4DqZ8Y4QO_aFw2vkGjA,Sports Editorial Content,Sports Editorial Content,True
UCtnmHPgmcQOxJKj1ZG4rmLw,Entertainment,Gaming,False
UCWPU18q799MFtdRMLaJCh7Q,Entertainment,Entertainment,True
UCxmh9CHjpMmQGFHvZQt0GTQ,Entertainment,Entertainment,True
UCS777nyImh331GyGxKnVeag,Kids Content,Kids Content,True
UCUy8Q82gXG07N2js29d4JwQ,Kids Content,Entertainment,False
UCXyDNZg0oIwic0j7m_jOjqQ,Kids Content,Kids Content,True
UCSWk237F09Emo2MxR3Q_1JA,Family,Entertainment,False
UCu5MM6dgH9IgvBr8WDrn4Sg,Family,Family,True
UCpiXGZBVa5jGYc4FAx_gq2g,"News, Politics, & Information","News, Politics, & Information",True
UCRYnloqXpa_amxp_IUSRa-w,Gaming,Gaming,True
UCw_wBbeBe5gsEbQPHCNw-eA,Gaming,Gaming,True
UCXaXECymzORzf06VzpD_jYg,Gaming,Gaming,True
UCypasri70U7xSQW0oGI4Vtg,Gaming,Gaming,True
UCN17O9A0wKJVHZjewWDm8lA,Tech,Tech,True
UCPrbArysdf6neOcQPaxzxFg,Tech,Tech,True
UCvWQOze3mZUVHgHUyCe4s-Q,Tech,Tech,True
UCYRkOO_tpXUtlrk4ojpZesA,Tech,Tech,True
UCnlHzs3zWBI-1xmsbdArIOQ,Education & Science,Education & Science,True
UCoc16w6cfFa8UKMwaMx1GWQ,Education & Science,Entertainment,False
UCt-HMqsPvzyrGkQ_704Ir5Q,Food & Drinks,Food & Drinks,True
UCvGh4HT9ySBoURt0zSpC0Nw,Food & Drinks,Lifestyle & Hobbies,False
UCVmUEHRt4HCm6KUeKMZcvBA,Food & Drinks,Food & Drinks,True
UCCf23ekQ5pwaF1U1kUtlwOQ,Corporate Channels,Entertainment,False
UCs7l4LJJdwtWwcn2FcAHbLg,Lifestyle & Hobbies,Lifestyle & Hobbies,True
UCU6ZQno03ENPABHqA3kgsXg,Lifestyle & Hobbies,Family,False
UCxrL6s8Q-FVLVUUn4bWgU3w,Lifestyle & Hobbies,Lifestyle & Hobbies,True
UCzwi1kwlNyJhhLVrHXmvVqA,Lifestyle & Hobbies,Lifestyle & Hobbies,True
UCKXTb8CkxQhJbPOAG-CtRfQ,Health & Fitness,Health & Fitness,True
UCnAXgBl1MVlGTDVVd_2uRHA,Health & Fitness,Entertainment,False
UCUeKyW4iBIHW1AASTwQl1oA,Health & Fitness,Health & Fitness,True
