,channel_id,vertical,predicted_vertical
330,UCELGGcp87Rd9IyR9TAR2kXA,Auto & Vehicles,"Auto & Vehicles, 95"
340,UCEptXIJlUdiUBosK_W5f1VQ,Gaming,"Gaming, 95"
350,UCfbshD56lsI6cM-TjTVQ-3A,Lifestyle & Hobbies,"Family, 95"
360,UCFpOLXdf0db2ViV3YpWs2OA,Lifestyle & Hobbies,"Entertainment, 95"
370,UCfTn60uE6zz1ibgdphKiIzw,Kids Content,"Kids Content, 95"
380,UCFUbaRNh5f9Ku8yj6fXHEzw,Entertainment,"Entertainment, 95"
390,UCh7nyWEkvGJHr0hcnnqp-xw,Gaming,"Gaming, 95"
392,UChi_U5HDWUfudfl8KKfuWvg,Gaming,"Gaming, 95"
402,UCHNXLlh1VWiPbgRRKOiLmcA,Gaming,"Gaming, 95"
412,UCHr_aw2Klj_YE6fTv4YypBQ,Lifestyle & Hobbies,"Entertainment, 90"
422,UCHRTziAevLPgAE9Y5VhSs5g,Education & Science,"Education & Science, 98"
432,UCiaZSRydY8beFPD886fS0rw,Health & Fitness,"Lifestyle & Hobbies, 93"
442,UCIbwO6Xm0Gpz0D810FUEs9w,Kids Content,"Kids Content, 98"
452,UCiof9YSQHD2cawGJXZ8DyBA,Tech,"Tech, 99"
462,UCIvE0AhNMRKfk62GdsgZhoA,Gaming,"Gaming, 90"
472,UCJ3HrPbiyDvqgJD6pj4_BEQ,Kids Content,"Kids Content, 99"
482,UCJACTxNpdIbgwLQ10ib4A9A,Tech,"Tech, 95"
492,UCJm3ECWPT6r8xBHV5NDVrMQ,Health & Fitness,"Health & Fitness, 95"
502,UCjST8i81ILulZZvnO1xtfhQ,Tech,"Tech, 95"
512,UCjvrWzo_puynmzvTiNQ1OJg,Tech,"Tech, 95"
522,UCKI91MuLfEw8H9MUEnMirwQ,Tech,"Gaming, 98"
532,UCKMO2LIpvjBbhNtssrCrhzQ,Tech,"Tech, 95"
542,UCKUlrPWnRiUTJnTTXMHAy_A,Health & Fitness,"Lifestyle & Hobbies, 90"
552,UCKXTb8CkxQhJbPOAG-CtRfQ,Health & Fitness,"Health & Fitness, 95"
562,UCL1JAIkOn-lYaRNpOI1GV4w,Entertainment,"Entertainment, 95"
572,UClBSYNoqdfJuWPWfcKPCk-A,Lifestyle & Hobbies,"Lifestyle & Hobbies, 95"
582,UClJAYpfNwjEXuhP3ssj71Ug,Education & Science,"Education & Science, 95"
592,UCLsw2U0uD6pHtI1H6DaMHlQ,Gaming,"Gaming, 95"
602,UCN17O9A0wKJVHZjewWDm8lA,Tech,"Tech, 98"
612,UCN5zwIR-N3WitHgyBrRPbfQ,Education & Science,"Education & Science, 90"
622,UCnAXgBl1MVlGTDVVd_2uRHA,Health & Fitness,"Entertainment, 95"
632,UCnlHzs3zWBI-1xmsbdArIOQ,Education & Science,"Education & Science, 85"
642,UCNoGlpE_yc7yGmnaWRXopaA,Food & Drinks,"Food & Drinks, 95"
652,UCO7vT4IiDqb1Ry8kSDCiRNw,Lifestyle & Hobbies,"Lifestyle & Hobbies, 95"
662,UCoc16w6cfFa8UKMwaMx1GWQ,Education & Science,"Entertainment, 90"
672,UCOGhBBuD_FPCdS4OFew7DwA,"News, Politics, & Information","Entertainment, 85"
682,UCon6JNfrvSKBeN0zSWvWDVg,Lifestyle & Hobbies,"Entertainment, 95"
692,UCOXiM0iYkuCqNfZJoNpTAHQ,Auto & Vehicles,"Auto & Vehicles, 98"
702,UCp2w6RCcZ2pgCgvNZCN4ciA,"News, Politics, & Information","News, Politics, & Information, 95"
712,UCpiXGZBVa5jGYc4FAx_gq2g,"News, Politics, & Information","News, Politics, & Information, 95"
722,UCPrbArysdf6neOcQPaxzxFg,Tech,"Tech, 93"
732,UCpTjuGibTsSpSOO-MREk8Wg,Entertainment,"Entertainment, 97"
742,UCQ5_VFjeXVT2Ht6freBsgeQ,Food & Drinks,"Food & Drinks, 95"
752,UCqAISscklbbQS-Y3GHyE-sA,Food & Drinks,"Food & Drinks, 95"
762,UCraZhrCr0fqudUIV5J9-1rQ,Lifestyle & Hobbies,"Lifestyle & Hobbies, 90"
772,UCRbIKMyRCDT-J47uJ26ehqw,Entertainment,"Entertainment, 95"
782,UCRYnloqXpa_amxp_IUSRa-w,Gaming,"Gaming, 95"
792,UCS777nyImh331GyGxKnVeag,Kids Content,"Kids Content, 95"
802,UCs7l4LJJdwtWwcn2FcAHbLg,Lifestyle & Hobbies,"Family, 95"
812,UCSKtK03rhl9irsdV3uFWiBg,Auto & Vehicles,"Auto & Vehicles, 95"
822,UCt-HMqsPvzyrGkQ_704Ir5Q,Food & Drinks,"Food & Drinks, 99"
832,UCtnmHPgmcQOxJKj1ZG4rmLw,Entertainment,"Gaming, 95
"
842,UCtTbVsgCMdXQifG1IPW2iKQ,Auto & Vehicles,"Auto & Vehicles, 95"
852,UCU6ZQno03ENPABHqA3kgsXg,Lifestyle & Hobbies,"Lifestyle & Hobbies, 95"
862,UCUeKyW4iBIHW1AASTwQl1oA,Health & Fitness,"Health & Fitness, 95"
872,UCUy8Q82gXG07N2js29d4JwQ,Kids Content,"Entertainment, 95"
882,UCvGh4HT9ySBoURt0zSpC0Nw,Food & Drinks,"Entertainment, 95"
892,UCVmUEHRt4HCm6KUeKMZcvBA,Food & Drinks,"Food & Drinks, 95"
902,UCvWQOze3mZUVHgHUyCe4s-Q,Tech,"Tech, 95"
912,UCWPU18q799MFtdRMLaJCh7Q,Entertainment,"Entertainment, 95"
922,UCw_wBbeBe5gsEbQPHCNw-eA,Gaming,"Gaming, 95"
932,UCXaXECymzORzf06VzpD_jYg,Gaming,"Gaming, 95"
942,UCxmh9CHjpMmQGFHvZQt0GTQ,Entertainment,"Entertainment, 93"
952,UCxrL6s8Q-FVLVUUn4bWgU3w,Lifestyle & Hobbies,"Lifestyle & Hobbies, 90"
962,UCXyDNZg0oIwic0j7m_jOjqQ,Kids Content,"Kids Content, 99"
972,UCypasri70U7xSQW0oGI4Vtg,Gaming,"Gaming, 95"
982,UCYRkOO_tpXUtlrk4ojpZesA,Tech,"Tech, 95"
992,UCzwi1kwlNyJhhLVrHXmvVqA,Lifestyle & Hobbies,"Lifestyle & Hobbies, 90"
