,channel_id,video_titles,verticals,assistant_two_shot,assistant_zero_shot,media_anl_step_by_step,data_sc_step_by_step,data_sc_simple,content_str_step_by_step,reference_prompt,simple,classifier_one_shot,classifier_two_shot,classifier_zero_shot,assistant_one_shot
11,UCs7l4LJJdwtWwcn2FcAHbLg,"['Mein STATEMENT! Was ist Los?', '5 BODYS?🤷\u200d♀️10 WINDELN?😰Der INHALT meiner WICKELTASCHE!', '😰ÜBERFORDERT als ZWEIFACH MAMA?😱KEIN PASS für die KLEINE? UNGE Fan? |XXL Vlog', 'ENTTÄUSCHT?😰12€ PENNY ADVENTSKALENDER 2019😱😢', 'SO ORGANISIERE ICH meinen WICKELTISCH! Aufbewahrung&Aufteilung...', '😱TRAUMGEBURT?😍🙈Meine ERSTE GEBURT vor 7 JAHREN! |Geburtsbericht...', 'MEINE 15 dm MUST HAVES😍in der SS🤰unter 1€uro...👌', '😱OMG... SORRY dm!🙏 ROSSMANN Adventskalender 2019 UNBOXING...', 'SIE ist DA!👶 5 Min. TRAUMGEBURT! Natürliche Geburt ohne PDA!']",Lifestyle & Hobbies,Family,Family,Entertainment,Family,Family,Family,Family,Family,Family,Family,Family,Family
12,UCSWk237F09Emo2MxR3Q_1JA,"['Hochzeitslieder für: Einzug, Jawort, Auszug  // JETZT BUCHEN // Julia Maria Klein', 'Das bin ich.', 'JULIA MARIA KLEIN -  Sängerin für Mütter // JETZT BUCHEN !', 'Konzert // Julia Maria Klein // Applauf für Mama, Mamaherz, Danke Mama', 'Danke Mama - Das Muttertagskonzert von Julia Maria Klein', 'Die ersten Presseberichte sind da. 😱😍  JETZT SCHNELL TICKETS BESTELLEN. #DankeMama', '❤️ Das perfekte MUTTERTAGS-GESCHENK ❤️ JETZT TICKETS SICHERN!  Muttertagskonzert Julia Maria Klein', 'JETZT TICKETS SICHERN !!! Das perfekte Muttertags-Geschenk: 14.05.2023 / 19:30 h / #DankeMama', 'Sängerin für Mamas: Ein Bericht über Julia Maria Klein // #ApplausFürMama & #Mamaherz #Tour']",Family,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment,Lifestyle & Hobbies,Entertainment,Entertainment,Entertainment
13,UCnAXgBl1MVlGTDVVd_2uRHA,"['Justin Bieber - Yummy (Dance With Skates)', 'Figure Skating Competition - Giorgia Dancing', 'Girls Like You (Maroon 5 ft. Cardi B) - Dance With Skates', 'Taki Taki (DJ Snake ft. Selena Gomez, Ozuna, Cardi B) - Dance With Skates', 'All I Want For Christmas Is You (Mariah Carey) - Dance With Skates', 'Pablo Remix (Sfera Ebbasta feat Moneybagg Yo, Rich the Kid & Lil Baby) - Dance With Skates', 'Claroscuro (Soy Luna) - Dance With Skates', 'A day With Giorgia Dancing - Vlog', 'vlogio']",Health & Fitness,Entertainment,Entertainment,Entertainment,Sports Editorial Content,Lifestyle & Hobbies,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment,Lifestyle & Hobbies,Sports Editorial Content
14,UCUy8Q82gXG07N2js29d4JwQ,"['BROMA A SOFÌ: LUÌ SE HA QUEDADO SIN PELO!!', 'MI NOVIO SE CREE UN SAMURAI!!', 'SOFÌ POLICIA HA DETENIDO AL LADRON LUÌ!!', 'LUÌ SE HA ESCAPADO DE PRISON! GUARDIAS Y LADRONES!!', 'BROMA A MI NOVIO! YA NO SOY CAPAZ DE MAQUILLARME!!', 'SOFÌ TIENE HIPO!!', 'NO ELIJAS LOS INGREDIENTES ASQUEROSOS DEL BATIDO!!', 'HACEMOS EL ARBOL DE NAVIDAD!', 'MI NOVIA SE HACE PASAR POR VAMPIRO!!']",Kids Content,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment
15,UCdTkML-Lu3Ka74D3fiM0jeg,"['Stonehenge', 'Viaggiare con un Neonato', 'Alberobello | Dormire in un Trullo', 'Matera', 'Madrid | Il Bocadillo de Calamares e Home tour Madrileno', ""El Rastro | Madrid | Il mercatino delle pulci più grande d'Europa"", 'Toledo | Ritorno al Medioevo', 'Madrid #2 | Tour della città e Tapas come se piovesse', ""Madrid | L'arrivo nella Capitale""]",Food & Drinks,Travel & Events,Travel & Events,Travel & Events,Travel & Events,Lifestyle & Hobbies,Travel,Lifestyle & Hobbies,Lifestyle & Hobbies,Travel & Events,Lifestyle & Hobbies,Lifestyle & Hobbies,Travel & Events
16,UCon6JNfrvSKBeN0zSWvWDVg,"['BlödGefragt Insights 2022 📈', 'Das SCHLIMMSTE Geschenk! 🎁🥲 | BlödGefragt #21', 'PEINLICHE Geschenke vom Weihnachtsmann! 🎅🏼🎁 | BlödGefragt #20', 'Promis beklauen auf Joyn Premiere! 🤬😂| BlödGefragt #19', 'Was wünscht DU dir zu Weihnachten? 🎁🎅🏼 | BlödGefragt #18', 'schaust DU die WM?!😧⚽️ | BlödGefragt #17', 'Deine S*X - Orte ? 🔥😏 | BlödGefragt #16', 'Die schlimmste S*X-Stellung?! 😳| BlödGefragt #15', 'Peinliche S*X Storys?😳| BlödGefragt #14']",Lifestyle & Hobbies,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment
17,UCCf23ekQ5pwaF1U1kUtlwOQ,"['DIESER „Twilight“-Star hat sich jetzt verlobt', '„iCarly“ Staffel 2: DIESER Charakter kehrt endlich zurück!', 'Queen Elizabeth II.: HIER wird sie von Herzogin Kate vertreten', 'Inka Bause: So schlecht geht es ihr durch die Corona-Situation', 'Heidi Klum gibt alten Bekannten für neue Staffel von GNTM bekannt', 'Taylor Swift überrascht Fans mit Selena Gomez', 'Dagi Bee, Bibi & Co.: In diesen 10 deutschen Städten leben die meisten Influencer', 'Erstes Date ein Erfolg? Auf DIESE Zeichen solltet ihr achten', 'Bekannte Weihnachtslieder: Was verdienen Mariah Carey, Wham! & Co. mit ihren Klassikern?']",Corporate Channels,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment
18,UC1bXG2l9YmiyzlaXI0i0pqw,"['Ho comprato il LIBRO più COSTOSO di HARRY POTTER!', 'Il mio primo bacio! #Episodio4', 'Stavo per morire. NO CLICKBAIT', 'PRANZO WILD NELLA NATURA! *come un vero vichingo*', 'IL GALLO PIO ATTACCA MANU!', 'La mia canzone preferita! #episodio3', 'FACCIAMO IL SALE MAGICO! *incredibile*', 'MANU RIVEDE LA SUA SORELLINA DOPO 3 ANNI! *emozionante*', 'Il tuo film preferito? 🍿#Episodio2']",Kids Content,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment
19,UCKXTb8CkxQhJbPOAG-CtRfQ,"['10 MIN BURNING BOOTY WORKOUT!', 'DAY IN THE LIFE: gym opnames, appartement Assen inrichten & nieuwe auto!', '10 MIN DEEP CORE WORKOUT!', 'GRWM, de babykamer inrichten & koken! (35 weken zwanger)', 'RESET DAG, SHOPPEN, BOODSCHAPPEN & KEUKEN OPRUIMEN! (31 weken zwanger)', '15 MIN KILLER LEGS WORKOUT!', '10 MIN DAILY MORNING STRETCH!', '30 MIN FULL BODY WORKOUT! sweaty calorie killer!', '10 MIN EASY ABS WORKOUT!']",Health & Fitness,Category: Lifestyle & Hobbies,,Lifestyle & Hobbies,Lifestyle & Hobbies,Lifestyle & Hobbies,Lifestyle & Hobbies,Lifestyle & Hobbies,Lifestyle & Hobbies,Lifestyle & Hobbies,Lifestyle & Hobbies,Lifestyle & Hobbies,Lifestyle & Hobbies
20,UCoc16w6cfFa8UKMwaMx1GWQ,"['Glacier Calving | Polarbears SHOCKED By HUGE COLLAPSE Next To Them!', 'Spectacular Tidal Bore Hits Indonesian Village (Part 3) & Surprises With Unexpected Power!', 'Ship in Storm [ASMR] | 3 Days CAUGHT in a STORM FORCE 12 + MONSTER WAVES in the North Atlantic!', 'Powerful Tidal Bore WIPES OUT Docks like a Tsunami! [Watch Until End] | Ganga River, Kolkata', 'Klerksdorp Airshow Crash 30 June 2012', 'Ship in Storm | Multiple MONSTER WAVES Hit Recuse Vessel in the North Sea! [Watch Until End]', 'Incredibly Dangerous Flash Flood Created in Only 2 Minutes! (Maui, Hawaii)', 'Incredible Tidal Bore Hits\xa0Village in Indonesia With Unexpected Power Again (Part 2)', 'Ship in Storm | INSANE Bulk Carrier Hit by TYPHOON in North China (Storm Force 12)!']",Education & Science,Auto & Vehicles,Auto & Vehicles,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment,,Entertainment,Entertainment,Entertainment,Entertainment
21,UCIvE0AhNMRKfk62GdsgZhoA,"['TIER LIST SQUADRE STORICHE CON FABIO CARESSA | REACTION !', 'APRO PACCHI FANS DAL GUSTO JOHNNY CREEKKIANO..', 'MICKEY MOUSE +18', 'SPEEDRUN MINECRAFT FINITA MALISSIMO ft. MARZA,GIANKO', 'REACTION MIGLIORI CLIPS DI ZANO E YOSHI', 'REACTION ALLA CASA DI CASSANO SU MTV!', 'APRO I PACCHI SPEDITI DAI FANS, CHE SDROGO!', 'ER VIDEO ALLENAMENTO PER IL FAZZONE', 'BLUR COL PC COSTOSO? MI SONO VENDUTO?!?! MA IL KING? ft. DEMANZINI']",Gaming,,Entertainment,Entertainment,Entertainment,,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment
22,UCN5zwIR-N3WitHgyBrRPbfQ,"['6 cose che ho imparato in 12 anni di YouTube', 'FdI propone una legge per tutelare la lingua italiana - Commento live con @YasminaPani', 'Perché ho deciso di NON usare lo scevà (ə)', 'Aiuto, mio/a figlio/a è un disastro in grammatica!', 'Sto guarendo dalla sindrome dell’impostore', 'Il video più INTIMO che abbia mai pubblicato', 'Meglio PARLARE IN CORSIVO come Elisa Esposito che parlare a vanvera!', 'Whisper Challenge a tema grammaticale feat. @AmicoDiverte_Racconti_Horror', 'Ciao, vi ricordate di me?']",Education & Science,Tech,,Entertainment,Lifestyle & Hobbies,Entertainment,Entertainment,Entertainment,Entertainment,Lifestyle & Hobbies,Entertainment,,Entertainment
23,UCdM8Pw7xscXoOO_RC1UsvbQ,"[""Kim Jong Un's Soldiers... How Does The North Korean Army Train Their Soldiers"", 'The 12 Toughest Prisons in the World', 'Is Cristiano Ronaldo JR  Still So Strong', '10 Last Photos of People We Never Saw Again', '10 Strange Things People Have Found In Their Homes', ""10 Terrible Secrets You Didn't Know About Cristiano Ronaldo"", 'Perfect Timing... Unexpected Moments Caught On Camera', ""This Soccer Player Claims He's Only 18 😂"", 'This Drone Filmed What No One Was Supposed To See']",News,,,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment,Entertainment
24,UCFpOLXdf0db2ViV3YpWs2OA,"['Das große WIEDERSEHEN & unsere alte WOHNUNG 😍 DailyVlog 10', 'Er DREHT DURCH HILFE', 'DAS NERVT UNS - REALTALK 😠 DailyVlog 8', 'Der EMOTIONALE ABSCHIED 😭 DailyVlog 7', 'Chris im ZOO 🙉 DailyVlog 6', 'Werden wir ÜBERLEBEN? 😱 DailyVlog 5', 'Die größte GEBURTSTAGS ENTTÄUSCHUNG 😱 DailyVlog 4', 'Sie RETTET mir den TAG 😍 DailyVlog 3', 'Der KINDERWUNSCH ist DA bei UNS 👶 DailyVlog 2']",Lifestyle & Hobbies,Entertainment,Entertainment,,,Family,Entertainment,Family,,Entertainment,Family,Entertainment,Entertainment
25,UCfbshD56lsI6cM-TjTVQ-3A,"['SUN, SEA AND PSYCHOPATHIC BRAINS', ""I'VE CHANGED"", 'DEALING WITH GRIEF', 'WEANING MARGOT - SALMON AND SWEET POTATO CAKES', 'OUR FIRST FAMILY HOLIDAY', 'LA HOUSE TOUR', 'SARAH ANSWERS YOUR QUESTIONS', 'POSTPARTUM CONCERNS', 'PLANNING OUR WEDDING IN SPAIN']",Lifestyle & Hobbies,Category: Family,,Family,Family,,Family,Family,Family,Family,Family,,
26,UCEptXIJlUdiUBosK_W5f1VQ,"['INDOVINA il CALCIATORE con le EMOJI [QUIZ]', 'Le SKILLS più ASSURDE dal LV 1 al LV 100', 'Indovina Questi CALCIATORI da PICCOLI [QUIZ]', ""HO SPESO 7'000'000 DI CREDITI PER I TOTY E HO TROVATO ... (FC 24)"", 'TUTTI I TOTY DA FIFA 09 A FIFA 23', 'LA SQUADRA DEI GIOCATORI PIÙ ALTI !!! - FIFA CHALLENGE (FC 24)', 'SODIN VOTA I TOTY DI FC 24 !!', 'Momenti Memorabili Nel Calcio', 'NON CI CREDO !!! [Pack Opening FC 24]']",Gaming,Sports Editorial Content,Sports Editorial Content,Sports Editorial Content,,Sports Editorial Content,Sports Editorial Content,,,Sports Editorial Content,,Sports Editorial Content,Sports Editorial Content
27,UCU6ZQno03ENPABHqA3kgsXg,"['COSTRETTA A DENUNCIARE! HO PIANTO', 'NON CI VEDEVAMO DA GIORNI: MIA SORELLA MI HA SHOCKATA!', 'VOGLIAMO IL 3 figlio ! POLIGNANO A MARE & MONOPOLI  - RISO PATATE E COZZE RICETTA TOP!', 'GITA  CON I MIEI COGNATI! Abbiamo ricevuto due chiamate spaventose', 'ANDIAMO IN PUGLIA! CUCINIAMO CON LA NONNA! SVEZZAMENTO FILIPPO E SERATA ANDATA MALE', 'A LAVORO CON CLAUDIO! NUOVI AMICI! SHOPPING ! RICETTE:TORTA RUSTICA - FOCACCIA BARESE E TORTA FREDDA', 'Libero casa! Addio 👋 make-up !!! DECLUTTER ASSURDO', 'Colazione con noi #cornettinutella 🥐☕️', 'UNA BELLISSIMA NOTIZIA 🥹 vaccino / SPESA EUROSPIN E PARCO']",Lifestyle & Hobbies,Family,,Family,,Family,,Family,,Family,Family,Family,
28,UCS777nyImh331GyGxKnVeag,"['Glitter & Candy 😲SEGRETI, TRADIMENTI, CUORI INFRANTI😲 IL FILM', ""Glitter & Candy 🌈 IL POTERE DELL' AMICIZIA 🌈 IL FILM"", 'Glitter & Candy 💐 La sfilata di Bridgerton 💐 - Parte seconda( IL FILM )', 'Glitter & Candy 💐 La sfilata di Bridgerton 💐 - Parte prima ( IL FILM )', 'GLITTER & CANDY - ❤️\u200d🔥UN ANNIVERSARIO INDIMENTICABILE❤️\u200d🔥 [ IL FILM ]', 'Glitter & Candy 😭LA TRAPPOLA DI NEBULA😭 IL FILM', 'Glitter & Candy - 🐰 La caccia alle uova di Pasqua e ai segreti di Clary 🐰 IL FILM', 'Glitter & Candy 🦋LA FESTA DELLE FATE E I LORO DISPETTI🦋 IL FILM', 'Glitter & Candy 🌸LA FESTA DEI FIORI DI CILIEGIO🌸 IL FILM']",Kids Content,Entertainment,Entertainment,,,,Entertainment,Entertainment,,Entertainment,,Entertainment,Entertainment
29,UCpiXGZBVa5jGYc4FAx_gq2g,"['Veel besmettingen tijdens uitgaan & mensen opgepakt voor zwembadmoord | Drenthe Nu 8 juli 2021', 'Drentse boer bouwt combine om te oogsten | RTV Drenthe', 'Stel uit Erica ontvlucht vuur & boze boeren oneens met stikstofbeleid | Drenthe Nu 7 juli 2021', 'Opnieuw boerenprotest bij het provinciehuis in Assen | RTV Drenthe', 'Diploma-uitreiking op de kermis & problemen door lekkende betonvloer | Drenthe Nu 6 juli 2021', 'Wanneer zijn onbewaakte spoorwegovergangen verleden tijd? | RTV Drenthe', 'Drukte bij huisartsen en manege Zuidlaren moet wijken | Drenthe Nu 5 juli 2021', 'Wat zijn de verschillen tussen zand- en veen-Drenten? | Tussen Zand en Veen | RTV Drenthe', 'Met de brommer over het TT-circuit & mountainbikerace door Drenthe | Drenthe Nu 4 juli 2021']",News,,,News Politics & Information,News Politics & Information,News,News Politics & Information,,News,,,,
30,UCKUlrPWnRiUTJnTTXMHAy_A,"['10 MIN BEST BOOTY WORKOUT / FAST WORKOUT / No Equipment  I Lisa del Piero', 'Hinter den Kulissen / Fitnessprogramm/ Lisa Del Piero', 'BIKINI HAUL 👙 / Lisa Del Piero', 'Ich nehme euch mit.. 🏝 - Lisa Del Piero', 'XXL FASHION TRY ON HAUL 🛍  / Lisa Del Piero', 'HAUL hinter den Kulissen 😅 / NEUES Po-Training?! 🍑 / Lisa Del Piero', 'SINGLE? / Wieso mit Sport angefangen? - Magersucht? EURE FRAGEN❗️', 'TOP 5 LEGGINGS 🍑 - Lisa Del Piero', 'TRAINING + STRAND + 1300 Treppenstufen 🥵']",Health & Fitness,,,Lifestyle & Hobbies,Lifestyle & Hobbies,,Lifestyle & Hobbies,,Lifestyle & Hobbies,,Lifestyle & Hobbies,,
31,UCp2w6RCcZ2pgCgvNZCN4ciA,"['Jongeren met bivakmutsen en mes plegen meerdere straatroven 🔪 | 112-overzicht', 'Huis met rieten dak vliegt in brand na blikseminslag | 112-overzicht', 'Fietser is aan zijn verwondingen overleden | 112-overzicht', 'Martin (73) door groep jongeren mishandeld: verdachte (40) aangehouden | Omroep Brabant', 'Loodgieter vermoord en in stukken gezaagd | Misdaad Uitgelegd', 'Flinke schade aan woning na aanslag  | 112-overzicht', 'Verdachte meldt zich bij politie na crash in woning | 112-overzicht', 'Ingreep met slijptol nodig bij deze neushoorn 🦏 | Op Safari', 'Schutter rijdt met motor bij huis naar binnen | Omroep Brabant']",News,,,News Politics & Information,News Politics & Information,News,News Politics & Information,,News,,,,
32,UC1jOeuYb9OFGDhBAZPkAopA,"['Outschied und Abtakes - GIGA FOTO sagt DANKE', 'Was ist der RAW Converter - Teil 4 I Fotos schärfen I TUTORIAL', 'Outschied und Abtakes - GIGA FOTO sagt DANKE', 'Unscharfe Fotos durch die Beugungsunschärfe I Fotografie Grundlagen', 'Was ist der RAW Converter - Teil 6 I Teiltonung I TUTORIAL', 'Froschperspektive', 'BeFunky - App der Woche - Bildbearbeitung Easy', 'Was ist der RAW Converter - Teil 3 I Gradationskurven I TUTORIAL', 'Manueller Weißabgleich I Fotografie Grundlagen']",Tech,,Education & Science,,,,,Lifestyle & Hobbies,Education & Science,Lifestyle & Hobbies,,,
